NAME|CITY|LAND|Region|Updated
Allianz Private Krankenversicherungs-Aktiengesellschaft|Unterföhring|GERMANY|Europe|10/08/2015
Allianz SE|München|GERMANY|Europe|10/08/2015
Allianz Treuhand GmbH|Stuttgart|GERMANY|Europe|10/08/2015
Allianz Versicherungs-Aktiengesellschaft|München|GERMANY|Europe|10/08/2015
Allianz Versorgungskasse Versicherungsverein a.G.|München|GERMANY|Europe|10/08/2015
ALLISTRO CAPITAL Fonds 21-1 GmbH & Co. KG|Frankfurt am Main|GERMANY|Europe|10/08/2015
AllSecur Deutschland AG|München|GERMANY|Europe|10/08/2015
ALO Capital AG|Frankfurt am Main|GERMANY|Europe|10/08/2015
Alpha Centauri Finanz-Beratungsgesellschaft mbH|Hamburg|GERMANY|Europe|10/08/2015
alpha connect capital GmbH|Neu-Anspach|GERMANY|Europe|10/08/2015
Alpha Invest GmbH|Frankfurt|GERMANY|Europe|10/08/2015
Alpha Wertpapierhandels GmbH|Frankfurt am Main|GERMANY|Europe|10/08/2015
Alpha-Beratungs GmbH|Schwabach|GERMANY|Europe|10/08/2015
Alphabet Fuhrparkmanagement GmbH|München|GERMANY|Europe|10/08/2015
ALPINA Metropolitan Madrid-Barcelona GmbH & Co. KG|Frankfurt am Main|GERMANY|Europe|10/08/2015
ALS AutoLeasing-Service GmbH|Uslar|GERMANY|Europe|10/08/2015
ALSTIN II Fonds GmbH & Co. KG|München|GERMANY|Europe|10/08/2015
ALTAPLAN LEASING GmbH|Grünstadt|GERMANY|Europe|10/08/2015
ALTE LEIPZIGER Bauspar AG|Oberursel (Taunus)|GERMANY|Europe|10/08/2015
ALTE LEIPZIGER Lebensversicherung auf Gegenseitigkeit|Oberursel|GERMANY|Europe|10/08/2015
ALTE LEIPZIGER Pensionsfonds AG|Oberursel|GERMANY|Europe|10/08/2015
ALTE LEIPZIGER Pensionskasse AG|Oberursel|GERMANY|Europe|10/08/2015
ALTE LEIPZIGER Treuhand GmbH|Oberursel (Taunus)|GERMANY|Europe|10/08/2015
ALTE LEIPZIGER Trust Investment-Gesellschaft mbH|Oberursel (Taunus)|GERMANY|Europe|10/08/2015
Alte Leipziger Versicherung Aktiengesellschaft|Oberursel|GERMANY|Europe|10/08/2015
ALTE OLDENBURGER Krankenversicherung AG|Vechta|GERMANY|Europe|10/08/2015
ALTE OLDENBURGER Krankenversicherung von 1927 Versicherungsverein auf Gegenseitigkeit|Vechta|GERMANY|Europe|10/08/2015
Alters- und Hinterbliebenen-Versicherung der Technischen Überwachungs-Vereine-VVaG-|Essen|GERMANY|Europe|10/08/2015
Altersversorgungskasse des Kaiserswerther Verbandes deutscher Diakonissen-Mutterhäuser VVaG|Essen|GERMANY|Europe|10/08/2015
Altonaer Spar- und Bauverein eG|Hamburg|GERMANY|Europe|10/08/2015
ALVG Anlagenvermietung GmbH|Stuttgart|GERMANY|Europe|10/08/2015
AM alpha Kapitalverwaltungsgesellschaft mbH|München|GERMANY|Europe|10/08/2015
AMANDEA Vermögensverwaltung AG|Neusitz, Mittelfr|GERMANY|Europe|10/08/2015
Amber Grundstücksverwaltungsgesellschaft mbH & Co. Vermietungs KG|Mainz a Rhein|GERMANY|Europe|10/08/2015
Amedosa Grundstücksverwaltungsgesellschaft mbH & Co. Vermietungs KG|Mainz-Kastel|GERMANY|Europe|10/08/2015
Ametos Invest GmbH|Frankfurt am Main|GERMANY|Europe|10/08/2015
AMF ApoMedFinanz GmbH|Merzenich, Kr Düren|GERMANY|Europe|10/08/2015
AMF Capital AG|Köln|GERMANY|Europe|10/08/2015
Amlin Europe N.V. - Direktion für Deutschland|Hamburg|GERMANY|Europe|10/08/2015
AMMERLÄNDER VERSICHERUNG Versicherungsverein a.G. (VVaG)|Westerstede|GERMANY|Europe|10/08/2015
Amokasol Vermietungsgesellschaft mbH & Co. Mobilien KG|Mainz a Rhein|GERMANY|Europe|10/08/2015
Amolofo Vermietungsgesellschaft mbH|Mainz a Rhein|GERMANY|Europe|10/08/2015
Amotobi Vermietungsgesellschaft mbH|Mainz a Rhein|GERMANY|Europe|10/08/2015
Ampega Investment GmbH|Köln|GERMANY|Europe|10/08/2015
AMS Fuhrparkmanagement GmbH|Berlin|GERMANY|Europe|10/08/2015
Amundi Deutschland, Niederlassung einer französischen Société Anonyme|Frankfurt am Main|GERMANY|Europe|10/08/2015
Amwendo Grundstücksverwaltungsgesellschaft mbH & Co. Vermietungs KG|Mainz a Rhein|GERMANY|Europe|10/08/2015
Ananda Ventures GmbH|München|GERMANY|Europe|10/08/2015
AnCeKa Vermögensbetreuungs AG|Kaufbeuren|GERMANY|Europe|10/08/2015
Ancora Versicherungs-Aktiengesellschaft i.L.|Hamburg|GERMANY|Europe|10/08/2015
Andelskassen Sonderjylland - Repräsentanz|Heikendorf|GERMANY|Europe|10/08/2015
Andreas Mehltretter Vermögensverwaltung|Holzkirchen, Oberbay|GERMANY|Europe|10/08/2015
Andreas Meißner Vermögensmanagement GmbH|Hamburg|GERMANY|Europe|10/08/2015
