UTIL.LOG.EVENT|EVENT|DATE|TIME|USER|MSG|ID|CMD|URI|RETCD|SUBR|TTY|USERNO|PATH|WHO|SENTENCE|HOST|IP|PLATFORM|START|STOP|ELAPSED|PROCESS|FILE|THREAD|CREATE.DATE|ID
20210201-092905145-8b24e57ace2c4|BEGIN|20210201|09:29:05.00710|root|U_TEST|20210201-092905145-8b24e57ace2c4|U_TEST|||U_START|/dev/ttys002|2|/Users/matttownsend/Development/qm/dev|DEV|u_test|mercury.local|192.168.0.100|Mac||||U_START||U_TEST|20210201|20210201-092905145-8b24e57ace2c4
20210201-092926166-5ae0245293984|BEGIN|20210201|09:29:26.00711|root|BCC|20210201-092926166-5ae0245293984|BCC|||U_START|/dev/ttys002|2|/Users/matttownsend/Development/qm/dev|DEV|BCC UTIL.BP U_DATE.ADD|mercury.local|192.168.0.100|Mac||||U_START||BCC|20210201|20210201-092926166-5ae0245293984
20210201-092926166-83ca1785f6f94|EXECUTE|20210201|09:29:26.00712|root|FORMAT UTIL.BP U_DATE.ADD|20210201-092926166-83ca1785f6f94|FORMAT UTIL.BP U_DATE.ADD||0|U_OS.EXECUTE|/dev/ttys002|2|/Users/matttownsend/Development/qm/dev|DEV|BCC UTIL.BP U_DATE.ADD|mercury.local|192.168.0.100|Mac||||U_OS.EXECUTE||BCC|20210201|20210201-092926166-83ca1785f6f94
20210201-092926166-bad3497cc1b34|EXECUTE|20210201|09:29:26.00714|root|CATALOG UTIL.BP U_DATE.ADD|20210201-092926166-bad3497cc1b34|CATALOG UTIL.BP U_DATE.ADD||0|U_OS.EXECUTE|/dev/ttys002|2|/Users/matttownsend/Development/qm/dev|DEV|BCC UTIL.BP U_DATE.ADD|mercury.local|192.168.0.100|Mac||||U_OS.EXECUTE||BCC|20210201|20210201-092926166-bad3497cc1b34
20210201-092926166-de36315647be4|EXECUTE|20210201|09:29:26.00713|root|BASIC UTIL.BP U_DATE.ADD|20210201-092926166-de36315647be4|BASIC UTIL.BP U_DATE.ADD||1|U_OS.EXECUTE|/dev/ttys002|2|/Users/matttownsend/Development/qm/dev|DEV|BCC UTIL.BP U_DATE.ADD|mercury.local|192.168.0.100|Mac||||U_OS.EXECUTE||BCC|20210201|20210201-092926166-de36315647be4
20210201-092929169-f298e62bd4214|BEGIN|20210201|09:29:29.00715|root|U_TEST|20210201-092929169-f298e62bd4214|U_TEST|||U_START|/dev/ttys002|2|/Users/matttownsend/Development/qm/dev|DEV|u_test|mercury.local|192.168.0.100|Mac||||U_START||U_TEST|20210201|20210201-092929169-f298e62bd4214
20210201-094423063-30b4144148e44|BEGIN|20210201|09:44:23.00716|root|BCC|20210201-094423063-30b4144148e44|BCC|||U_START|/dev/ttys002|2|/Users/matttownsend/Development/qm/dev|DEV|BCC UTIL.BP U_DATE.ADD|mercury.local|192.168.0.100|Mac||||U_START||BCC|20210201|20210201-094423063-30b4144148e44
20210201-094423063-39895971e8754|EXECUTE|20210201|09:44:23.00719|root|CATALOG UTIL.BP U_DATE.ADD|20210201-094423063-39895971e8754|CATALOG UTIL.BP U_DATE.ADD||0|U_OS.EXECUTE|/dev/ttys002|2|/Users/matttownsend/Development/qm/dev|DEV|BCC UTIL.BP U_DATE.ADD|mercury.local|192.168.0.100|Mac||||U_OS.EXECUTE||BCC|20210201|20210201-094423063-39895971e8754
20210201-094423063-afd8e435945c4|EXECUTE|20210201|09:44:23.00717|root|FORMAT UTIL.BP U_DATE.ADD|20210201-094423063-afd8e435945c4|FORMAT UTIL.BP U_DATE.ADD||0|U_OS.EXECUTE|/dev/ttys002|2|/Users/matttownsend/Development/qm/dev|DEV|BCC UTIL.BP U_DATE.ADD|mercury.local|192.168.0.100|Mac||||U_OS.EXECUTE||BCC|20210201|20210201-094423063-afd8e435945c4
20210201-094423063-c6a0f165bc6f4|EXECUTE|20210201|09:44:23.00718|root|BASIC UTIL.BP U_DATE.ADD|20210201-094423063-c6a0f165bc6f4|BASIC UTIL.BP U_DATE.ADD||1|U_OS.EXECUTE|/dev/ttys002|2|/Users/matttownsend/Development/qm/dev|DEV|BCC UTIL.BP U_DATE.ADD|mercury.local|192.168.0.100|Mac||||U_OS.EXECUTE||BCC|20210201|20210201-094423063-c6a0f165bc6f4
