Name,Location,Federal state,Organisation,Branches,Categ,Country,,,
Volksbank Reutlingen eG,Reutlingen,Baden-Württemberg,BWGV,28,German Coop,Germany,,,
RaiffeisenVolksbank eG Gewerbebank Ansbach,Ansbach,Bavaria,GVB,28,German Coop,Germany,,,
Raiffeisen-Volksbank Ries eG,Nördlingen,Bavaria,GVB,28,German Coop,Germany,,,
Volksbank Dill eG,Dillenburg,Hesse,GV,28,German Coop,Germany,,,
Märkische Bank eG,Hagen,North Rhine-Westphalia,RWGV,28,German Coop,Germany,,,
Volksbank Bad Oeynhausen-Herford eG,Herford,North Rhine-Westphalia,RWGV,28,German Coop,Germany,,,
Volksbank an der Niers eG,Kevelaer,North Rhine-Westphalia,RWGV,28,German Coop,Germany,,,
Volksbank Bigge-Lenne eG,Schmallenberg,North Rhine-Westphalia,RWGV,28,German Coop,Germany,,,
Volksbank Münsingen eG,Münsingen,Baden-Württemberg,BWGV,27,German Coop,Germany,,,
Volksbank Kirchheim-Nürtingen eG,Nürtingen,Baden-Württemberg,BWGV,27,German Coop,Germany,,,
Volksbank-Raiffeisenbank Riedlingen eG,Riedlingen,Baden-Württemberg,BWGV,27,German Coop,Germany,,,
Augusta-Bank eG Raiffeisen-Volksbank Augsburg,Augsburg,Bavaria,GVB,27,German Coop,Germany,,,
Volksbank Raiffeisenbank Fürstenfeldbruck eG,Fürstenfeldbruck,Bavaria,GVB,27,German Coop,Germany,,,
VR Bank Kaufbeuren-Ostallgäu eG,Marktoberdorf,Bavaria,GVB,27,German Coop,Germany,,,
Hallertauer Volksbank eG,Pfaffenhofen an der Ilm,Bavaria,GVB,27,German Coop,Germany,,,
Volksbank Raiffeisenbank Starnberg-Herrsching-Landsberg eG,Starnberg,Bavaria,GVB,27,German Coop,Germany,,,
Pommersche Volksbank eG,Stralsund,Mecklenburg-Vorpommern,GV,27,German Coop,Germany,,,
Volksbank Wolfenbüttel-Salzgitter eG,Wolfenbüttel,Lower Saxony,GV,27,German Coop,Germany,,,
Volksbank Gütersloh eG,Gütersloh,North Rhine-Westphalia,RWGV,27,German Coop,Germany,,,
Raiffeisenbank Frechen-Hürth eG,Hürth,North Rhine-Westphalia,RWGV,27,German Coop,Germany,,,
Volksbank Oberberg eG,Wiehl,North Rhine-Westphalia,RWGV,27,German Coop,Germany,,,
Volksbank Rhein-Lahn eG,Diez,Rhineland-Palatinate,GV,27,German Coop,Germany,,,
Dresdner Volksbank Raiffeisenbank eG,Dresden,Saxony,GV,27,German Coop,Germany,,,
Volksbank Donau-Neckar eG,Tuttlingen,Baden-Württemberg,BWGV,26,German Coop,Germany,,,
Raiffeisenbank Cham-Roding-Furth im Wald eG,Cham (Oberpfalz),Bavaria,GVB,26,German Coop,Germany,,,
Raiffeisen-Volksbank Neuburg/Donau eG,Neuburg an der Donau,Bavaria,GVB,26,German Coop,Germany,,,
VR-Bank eG Schweinfurt Land,Sennfeld,Bavaria,GVB,26,German Coop,Germany,,,
Volksbank Main-Taunus eG,Kelkheim,Hesse,GV,26,German Coop,Germany,,,
Volksbank Eichsfeld-Northeim eG,Duderstadt,Lower Saxony,GV,26,German Coop,Germany,,,
Raiffeisenbank Heinsberg eG,Heinsberg,North Rhine-Westphalia,RWGV,26,German Coop,Germany,,,
Volksbank Minden-Hille-Porta eG,Minden,North Rhine-Westphalia,RWGV,26,German Coop,Germany,,,
Volksbank Alzey eG,Alzey,Rhineland-Palatinate,GV,26,German Coop,Germany,,,
Vereinigte Genossenschafts- und Raiffeisenbank Westpfalz eG,Landstuhl,Rhineland-Palatinate,GV,26,German Coop,Germany,,,
VR-Bank Aalen eG,Aalen,Baden-Württemberg,BWGV,25,German Coop,Germany,,,
Volksbank Offenburg eG,Offenburg,Baden-Württemberg,BWGV,25,German Coop,Germany,,,
VR Bank Schwäbisch Hall eG,Schwäbisch Hall,Baden-Württemberg,BWGV,25,German Coop,Germany,,,
Raiffeisenbank Aschaffenburg eG,Aschaffenburg,Bavaria,GVB,25,German Coop,Germany,,,
Volksbank-Raiffeisenbank Bayreuth eG,Bayreuth,Bavaria,GVB,25,German Coop,Germany,,,
Volksbank Raiffeisenbank Dachau eG,Dachau,Bavaria,GVB,25,German Coop,Germany,,,
Volksbank Forchheim eG,Forchheim,Bavaria,GVB,25,German Coop,Germany,,,
Raiffeisenbank Oberallgäu-Süd eG,Sonthofen,Bavaria,GVB,25,German Coop,Germany,,,
Waldecker Bank eG,Korbach,Hesse,GV,25,German Coop,Germany,,,
Volksbank Bremerhaven-Cuxland eG,Beverstedt,Lower Saxony,GV,25,German Coop,Germany,,,
Bielefelder Volksbank eG,Bielefeld,North Rhine-Westphalia,RWGV,25,German Coop,Germany,,,
RV Bank Rhein-Haardt eG,Lambsheim,Rhineland-Palatinate,GV,25,German Coop,Germany,,,
Volksbank Franken eG,Buchen,Baden-Württemberg,BWGV,24,German Coop,Germany,,,
Wiesbadener Volksbank eG,Wiesbaden,Hesse,GV,24,German Coop,Germany,,,
Volksbank in Schaumburg eG,Rinteln,Lower Saxony,GV,24,German Coop,Germany,,,
Volksbank Seesen eG,Seesen,Lower Saxony,GV,24,German Coop,Germany,,,
Volksbank Bochum Witten eG,Bochum,North Rhine-Westphalia,RWGV,24,German Coop,Germany,,,
Volksbank Düsseldorf Neuss eG,Düsseldorf,North Rhine-Westphalia,RWGV,24,German Coop,Germany,,,
Volksbank Rhein-Ruhr eG,Duisburg,North Rhine-Westphalia,RWGV,24,German Coop,Germany,,,
Volksbank Hellweg eG,Soest,North Rhine-Westphalia,RWGV,24,German Coop,Germany,,,
Volksbank Ebingen eG,Albstadt,Baden-Württemberg,BWGV,23,German Coop,Germany,,,
Volksbank Ettlingen eG,Ettlingen,Baden-Württemberg,BWGV,23,German Coop,Germany,,,
Volksbank Mosbach eG,Mosbach,Baden-Württemberg,BWGV,23,German Coop,Germany,,,
Raiffeisen-Volksbank Erlangen-Höchstadt eG,Erlangen,Bavaria,GVB,23,German Coop,Germany,,,
VR-Bank Memmingen eG,Memmingen,Bavaria,GVB,23,German Coop,Germany,,,
VR-Bank Uffenheim-Neustadt eG Raiffeisen-Volksbank,Neustadt an der Aisch,Bavaria,GVB,23,German Coop,Germany,,,
Volksbank Straubing eG,Straubing,Bavaria,GVB,23,German Coop,Germany,,,
Volksbank Göttingen eG,Göttingen,Lower Saxony,GV,23,German Coop,Germany,,,
Volksbank Hildesheim eG,Hildesheim,Lower Saxony,GV,23,German Coop,Germany,,,
Volksbank Tecklenburger Land eG,Ibbenbüren,North Rhine-Westphalia,RWGV,23,German Coop,Germany,,,
Volksbank Büren und Salzkotten eG,Salzkotten,North Rhine-Westphalia,RWGV,23,German Coop,Germany,,,
VR-Bank Rhein-Sieg eG,Siegburg,North Rhine-Westphalia,RWGV,23,German Coop,Germany,,,
Volksbank Trier eG,Trier,Rhineland-Palatinate,RWGV,23,German Coop,Germany,,,
Volksbank Bautzen eG,Bautzen,Saxony,GV,23,German Coop,Germany,,,
Volksbank Backnang eG,Backnang,Baden-Württemberg,BWGV,22,German Coop,Germany,,,
Volksbank Bühl eG,Bühl,Baden-Württemberg,BWGV,22,German Coop,Germany,,,
Volksbank Dreiländereck eG,Lörrach,Baden-Württemberg,BWGV,22,German Coop,Germany,,,
Raiffeisenbank im Allgäuer Land eG,Altusried,Bavaria,GVB,22,German Coop,Germany,,,
Raiffeisenbank Iller-Roth-Günz eG,Bellenberg,Bavaria,GVB,22,German Coop,Germany,,,
Raiffeisenbank Oberpfalz Süd eG,Donaustauf,Bavaria,GVB,22,German Coop,Germany,,,
Raiffeisenbank Straubing eG,Straubing,Bavaria,GVB,22,German Coop,Germany,,,
Groß-Gerauer Volksbank eG,Groß-Gerau,Hesse,GV,22,German Coop,Germany,,,
Raiffeisenbank Oldenburg eG,Oldenburg,Lower Saxony,GVWE,22,German Coop,Germany,,,
Volksbank Oldenburg eG,Oldenburg,Lower Saxony,GVWE,22,German Coop,Germany,,,
Volksbank Lübbecker Land eG,Lübbecke,North Rhine-Westphalia,RWGV,22,German Coop,Germany,,,
Volksbank Chemnitz eG,Chemnitz,Saxony,GV,22,German Coop,Germany,,,
Volksbank Raiffeisenbank Niederschlesien eG,Görlitz,Saxony,GV,22,German Coop,Germany,,,
Kieler Volksbank eG,Kiel,Schleswig-Holstein,GV,22,German Coop,Germany,,,
VR-Bank Neumünster eG,Neumünster,Schleswig-Holstein,GV,22,German Coop,Germany,,,
Volksbank Bad Saulgau eG,Bad Saulgau,Baden-Württemberg,BWGV,21,German Coop,Germany,,,
Raiffeisenbank Kocher-Jagst eG,Ingelfingen,Baden-Württemberg,BWGV,21,German Coop,Germany,,,
Volksbank Überlingen eG,Überlingen,Baden-Württemberg,BWGV,21,German Coop,Germany,,,
Raiffeisenbank Deggendorf-Plattling eG,Deggendorf,Bavaria,GVB,21,German Coop,Germany,,,
Freisinger Bank eG Volksbank-Raiffeisenbank,Freising,Bavaria,GVB,21,German Coop,Germany,,,
Raiffeisenbank Weiden eG,Weiden in der Oberpfalz,Bavaria,GVB,21,German Coop,Germany,,,
Brandenburger Bank Volksbank-Raiffeisenbank eG,Brandenburg,Brandenburg,GV,21,German Coop,Germany,,,
VR-Bank NordRhön eG,Hünfeld,Hesse,GV,21,German Coop,Germany,,,
VR-Bank Untertaunus eG,Idstein,Hesse,GV,21,German Coop,Germany,,,
Raiffeisen-Volksbank Aurich eG,Aurich,Lower Saxony,GVWE,21,German Coop,Germany,,,
Volksbank Osterburg-Lüchow-Dannenberg eG,Dannenberg,Lower Saxony,GV,21,German Coop,Germany,,,
Volksbank Jever eG,Jever,Lower Saxony,GVWE,21,German Coop,Germany,,,
Raiffeisen-Volksbank Fresena eG,Norden,Lower Saxony,GVWE,21,German Coop,Germany,,,
Volksbank Hildesheimer Börde eG,Söhlde,Lower Saxony,GV,21,German Coop,Germany,,,
Volksbank Niederrhein eG,Alpen,North Rhine-Westphalia,RWGV,21,German Coop,Germany,,,
Volksbank Nordmünsterland eG,Rheine,North Rhine-Westphalia,RWGV,21,German Coop,Germany,,,
Volksbank Lauterecken eG,Lauterecken,Rhineland-Palatinate,GV,21,German Coop,Germany,,,
VR Bank Westthüringen eG,Mühlhausen/Thüringen,Thuringia,GV,21,German Coop,Germany,,,
Volksbank Breisgau-Süd eG,Breisach,Baden-Württemberg,BWGV,20,German Coop,Germany,,,
Heidenheimer Volksbank eG,Heidenheim,Baden-Württemberg,BWGV,20,German Coop,Germany,,,
Volksbank Heilbronn eG,Heilbronn,Baden-Württemberg,BWGV,20,German Coop,Germany,,,
Volksbank Konstanz eG,Konstanz,Baden-Württemberg,BWGV,20,German Coop,Germany,,,
VR Bank Dinkelsbühl eG,Dinkelsbühl,Bavaria,GVB,20,German Coop,Germany,,,
Raiffeisen-Volksbank Kronach-Ludwigsstadt eG,Kronach,Bavaria,GVB,20,German Coop,Germany,,,
Volksbank Raiffeisenbank Nürnberg eG,Nürnberg,Bavaria,GVB,20,German Coop,Germany,,,
Volksbank Dreieich eG,Langen,Hesse,GV,20,German Coop,Germany,,,
Volksbank Raiffeisenbank Greifswald eG,Greifswald,Mecklenburg-Vorpommern,GV,20,German Coop,Germany,,,
Volksbank Osterholz-Scharmbeck eG,Osterholz-Scharmbeck,Lower Saxony,GV,20,German Coop,Germany,,,
VR-Bank Rhein-Erft eG,Brühl,North Rhine-Westphalia,RWGV,20,German Coop,Germany,,,
Volksbank Erkelenz-Hückelhoven-Wegberg eG,Erkelenz,North Rhine-Westphalia,RWGV,20,German Coop,Germany,,,
Volksbank Münster eG,Münster,North Rhine-Westphalia,RWGV,20,German Coop,Germany,,,
Volksbank Rhein-Lippe eG,Wesel,North Rhine-Westphalia,RWGV,20,German Coop,Germany,,,
Volks- und Raiffeisenbank Neuwied-Linz eG,Neuwied,Rhineland-Palatinate,RWGV,20,German Coop,Germany,,,
Volksbank Untere Saar eG,Losheim am See,Saarland,GV,20,German Coop,Germany,,,
VR-Bank Pinneberg eG,Pinneberg,Schleswig-Holstein,GV,20,German Coop,Germany,,,
Crailsheimer Volksbank eG,Crailsheim,Baden-Württemberg,BWGV,19,German Coop,Germany,,,
Raiffeisenbank Ehingen-Hochsträß eG,Ehingen,Baden-Württemberg,BWGV,19,German Coop,Germany,,,
VR-Bank Langenau-Ulmer Alb eG,Langenau,Baden-Württemberg,BWGV,19,German Coop,Germany,,,
Volksbank Schwarzwald-Neckar eG,Schramberg,Baden-Württemberg,BWGV,19,German Coop,Germany,,,
Volksbank Schwäbisch Gmünd eG,Schwäbisch Gmünd,Baden-Württemberg,BWGV,19,German Coop,Germany,,,
Volksbank Allgäu-West eG,Wangen im Allgäu,Baden-Württemberg,BWGV,19,German Coop,Germany,,,
GenoBank DonauWald eG,Deggendorf,Bavaria,GVB,19,German Coop,Germany,,,
Landsberg-Ammersee Bank eG Volks- und Raiffeisenbank,Kaufering,Bavaria,GVB,19,German Coop,Germany,,,
Raiffeisenbank Krumbach/Schwaben eG,Krumbach (Schwaben),Bavaria,GVB,19,German Coop,Germany,,,
Raiffeisenbank Lohr am Main eG,Lohr am Main,Bavaria,GVB,19,German Coop,Germany,,,
Raiffeisenbank im Naabtal eG,Nabburg,Bavaria,GVB,19,German Coop,Germany,,,
VR Bank Lausitz eG,Cottbus,Brandenburg,GV,19,German Coop,Germany,,,
Rheingauer Volksbank eG,Geisenheim,Hesse,GV,19,German Coop,Germany,,,
Raiffeisenbank Mecklenburger Seenplatte eG,Waren,Mecklenburg-Vorpommern,GV,19,German Coop,Germany,,,
Volks- und Raiffeisenbank Wismar eG,Wismar,Mecklenburg-Vorpommern,GV,19,German Coop,Germany,,,
Volksbank Syke eG,Bassum,Lower Saxony,GV,19,German Coop,Germany,,,
