Name,Location,Federal state,Organisation,Branches,Categ,Country,,,
Allgäuer Volksbank eG Kempten-Sonthofen,Kempten,Bavaria,GVB,9,German Coop,Germany,,,
Raiffeisenbank Küps-Mitwitz-Stockheim eG,Küps,Bavaria,GVB,9,German Coop,Germany,,,
Raiffeisenbank Mengkofen-Loiching eG,Mengkofen,Bavaria,GVB,9,German Coop,Germany,,,
Genossenschaftsbank eG München,München,Bavaria,GVB,9,German Coop,Germany,,,
Volksbank-Raiffeisenbank Penzberg eG,Penzberg,Bavaria,GVB,9,German Coop,Germany,,,
Raiffeisenbank Am Goldenen Steig eG,Waldkirchen,Bavaria,GVB,9,German Coop,Germany,,,
Raiffeisen-Volksbank Wemding eG,Wemding,Bavaria,GVB,9,German Coop,Germany,,,
Raiffeisen-Volksbank Oder-Spree eG,Beeskow,Brandenburg,GV,9,German Coop,Germany,,,
Volksbank Darmstadt eG,Darmstadt,Hesse,GV,9,German Coop,Germany,,,
VR Bank Bad Orb-Gelnhausen eG,Gelnhausen,Hesse,GV,9,German Coop,Germany,,,
Volksbank Bergstraße eG,Heppenheim,Hesse,GV,9,German Coop,Germany,,,
VR-Bank Schwalm-Eder Volksbank Raiffeisenbank eG,Homberg (Efze),Hesse,GV,9,German Coop,Germany,,,
Landbank Horlofftal eG,Reichelsheim (Wetterau),Hesse,GV,9,German Coop,Germany,,,
Raiffeisenbank Malchin eG,Malchin,Mecklenburg-Vorpommern,GV,9,German Coop,Germany,,,
Volksbank Wolgast eG,Wolgast,Mecklenburg-Vorpommern,GV,9,German Coop,Germany,,,
Raiffeisenbank Wesermarsch-Süd eG,Brake,Lower Saxony,GVWE,9,German Coop,Germany,,,
Volksbank Esens eG,Esens,Lower Saxony,GVWE,9,German Coop,Germany,,,
Volksbank Bad Laer-Borgloh-Hilter-Melle eG,Hilter,Lower Saxony,GVWE,9,German Coop,Germany,,,
Volksbank Emstal eG,Lathen,Lower Saxony,GVWE,9,German Coop,Germany,,,
Volksbank Westrhauderfehn eG,Rhauderfehn,Lower Saxony,GVWE,9,German Coop,Germany,,,
Volksbank Vechelde-Wendeburg eG,Wendeburg,Lower Saxony,GV,9,German Coop,Germany,,,
Zevener Volksbank eG,Zeven,Lower Saxony,GV,9,German Coop,Germany,,,
Pax-Bank eG,Köln,North Rhine-Westphalia,RWGV,9,German Coop,Germany,,,
Volksbank Lippstadt eG,Lippstadt,North Rhine-Westphalia,RWGV,9,German Coop,Germany,,,
Volksbank Brüggen-Nettetal eG,Nettetal,North Rhine-Westphalia,RWGV,9,German Coop,Germany,,,
Volksbank Montabaur-Höhr-Grenzhausen eG,Montabaur,Rhineland-Palatinate,GV,9,German Coop,Germany,,,
Volksbank Nahe-Schaumberg eG,Nohfelden,Saarland,GV,9,German Coop,Germany,,,
Volksbank-Raiffeisenbank Glauchau eG,Glauchau,Saxony,GVB,9,German Coop,Germany,,,
Volks- und Raiffeisenbank Muldental eG,Grimma,Saxony,GV,9,German Coop,Germany,,,
Raiffeisenbank Torgau eG,Torgau,Saxony,GV,9,German Coop,Germany,,,
Volksbank Jerichower Land eG,Burg,Saxony-Anhalt,GV,9,German Coop,Germany,,,
Volksbank Magdeburg eG,Magdeburg,Saxony-Anhalt,GV,9,German Coop,Germany,,,
Volksbank Altshausen eG,Altshausen,Baden-Württemberg,BWGV,8,German Coop,Germany,,,
Bad Waldseer Bank eG,Bad Waldsee,Baden-Württemberg,BWGV,8,German Coop,Germany,,,
Volksbank Blaubeuren eG,Blaubeuren,Baden-Württemberg,BWGV,8,German Coop,Germany,,,
Bopfinger Bank Sechta-Ries eG,Bopfingen,Baden-Württemberg,BWGV,8,German Coop,Germany,,,
Raiffeisenbank Ravensburg eG,Horgenzell,Baden-Württemberg,BWGV,8,German Coop,Germany,,,
Raiffeisenbank Kraichgau eG,Kirchardt,Baden-Württemberg,BWGV,8,German Coop,Germany,,,
Volksbank Heuberg eG,Meßstetten,Baden-Württemberg,BWGV,8,German Coop,Germany,,,
VR-Bank Asperg-Markgröningen eG,Möglingen,Baden-Württemberg,BWGV,8,German Coop,Germany,,,
Raiffeisenbank Teck eG,Owen,Baden-Württemberg,BWGV,8,German Coop,Germany,,,
VBU Volksbank im Unterland eG,Schwaigern,Baden-Württemberg,BWGV,8,German Coop,Germany,,,
Volksbank Stutensee-Hardt eG,Stutensee,Baden-Württemberg,BWGV,8,German Coop,Germany,,,
Volksbank Klettgau-Wutöschingen eG,Wutöschingen,Baden-Württemberg,BWGV,8,German Coop,Germany,,,
Raiffeisenbank Burgebrach eG,Burgebrach,Bavaria,GVB,8,German Coop,Germany,,,
VR-Bank Erding eG,Erding,Bavaria,GVB,8,German Coop,Germany,,,
Raiffeisenbank Essenbach eG,Essenbach,Bavaria,GVB,8,German Coop,Germany,,,
Raiffeisenbank Gaimersheim-Buxheim eG,Gaimersheim,Bavaria,GVB,8,German Coop,Germany,,,
Bayerische Bodenseebank -Raiffeisen- eG,Lindau,Bavaria,GVB,8,German Coop,Germany,,,
Raiffeisenbank Rattiszell-Konzell eG,Rattiszell,Bavaria,GVB,8,German Coop,Germany,,,
Raiffeisenbank Südliches Ostallgäu eG,Rosshaupten,Bavaria,GVB,8,German Coop,Germany,,,
Raiffeisenbank Ebrachgrund eG,Schlüsselfeld,Bavaria,GVB,8,German Coop,Germany,,,
Raiffeisenbank Schwabmünchen eG,Schwabmünchen,Bavaria,GVB,8,German Coop,Germany,,,
Raiffeisenbank Zorneding eG,Zorneding,Bavaria,GVB,8,German Coop,Germany,,,
Bremische Volksbank eG,Bremen,Bremen,GV,8,German Coop,Germany,,,
Raiffeisenbank Borken eG,Borken (Hessen),Hesse,GV,8,German Coop,Germany,,,
Volksbank Butzbach eG,Butzbach,Hesse,GV,8,German Coop,Germany,,,
Volksbank Höchst a.M. eG,Frankfurt a.M.,Hesse,GV,8,German Coop,Germany,,,
Raiffeisenbank Volkmarsen eG,Volkmarsen,Hesse,GV,8,German Coop,Germany,,,
Rostocker Volks- und Raiffeisenbank eG,Rostock,Mecklenburg-Vorpommern,GV,8,German Coop,Germany,,,
Volksbank Bad Münder eG,Bad Münder,Lower Saxony,GV,8,German Coop,Germany,,,
Volksbank Kehdingen eG,Drochtersen,Lower Saxony,GV,8,German Coop,Germany,,,
Volksbank Ganderkesee-Hude eG,Hude,Lower Saxony,GVWE,8,German Coop,Germany,,,
Volksbank Dorsten eG,Dorsten,North Rhine-Westphalia,RWGV,8,German Coop,Germany,,,
Volksbank Oelde-Ennigerloh-Neubeckum eG,Ennigerloh,North Rhine-Westphalia,RWGV,8,German Coop,Germany,,,
Volksbank Halle/Westf. eG,Halle (Westf.),North Rhine-Westphalia,RWGV,8,German Coop,Germany,,,
Spar- und Darlehnskasse Bockum-Hövel eG,Hamm,North Rhine-Westphalia,RWGV,8,German Coop,Germany,,,
Raiffeisenbank Simmerath eG,Simmerath,North Rhine-Westphalia,RWGV,8,German Coop,Germany,,,
Volksbank Wipperfürth-Lindlar eG,Wipperfürth,North Rhine-Westphalia,RWGV,8,German Coop,Germany,,,
Volksbank Boppard eG,Boppard,Rhineland-Palatinate,GV,8,German Coop,Germany,,,
Raiffeisenbank Nahe eG,Fischbach,Rhineland-Palatinate,RWGV,8,German Coop,Germany,,,
Raiffeisenbank Kastellaun eG,Kastellaun,Rhineland-Palatinate,RWGV,8,German Coop,Germany,,,
Raiffeisenbank Grimma eG,Grimma,Saxony,GV,8,German Coop,Germany,,,
Volksbank Köthen-Bitterfeld eG,Köthen,Saxony-Anhalt,GV,8,German Coop,Germany,,,
Raiffeisenbank Südstormarn eG,Ahrensburg,Schleswig-Holstein,GV,8,German Coop,Germany,,,
Volksbank Elmshorn eG,Elmshorn,Schleswig-Holstein,GV,8,German Coop,Germany,,,
Volks- und Raiffeisenbank Mölln eG,Mölln,Schleswig-Holstein,GV,8,German Coop,Germany,,,
Volks- und Raiffeisenbank Süderbrarup eG,Süderbrarup,Schleswig-Holstein,GV,8,German Coop,Germany,,,
Raiffeisenbank Gotha eG,Gotha,Thuringia,GV,8,German Coop,Germany,,,
Raiffeisenbank Schleusingen eG,Schleusingen,Thuringia,GV,8,German Coop,Germany,,,
Volksbank Beilstein-Ilsfeld-Abstatt eG,Beilstein,Baden-Württemberg,BWGV,7,German Coop,Germany,,,
Raiffeisenbank Bretzfeld-Neuenstein eG,Bretzfeld,Baden-Württemberg,BWGV,7,German Coop,Germany,,,
Raiffeisenbank Hardt-Bruhrain eG,Dettenheim,Baden-Württemberg,BWGV,7,German Coop,Germany,,,
Raiffeisenbank Gundelfingen eG,Gundelfingen,Baden-Württemberg,BWGV,7,German Coop,Germany,,,
Volksbank Mössingen eG,Mössingen,Baden-Württemberg,BWGV,7,German Coop,Germany,,,
Raiffeisenbank Oberes Gäu eG,Rottenburg-Ergenzingen,Baden-Württemberg,BWGV,7,German Coop,Germany,,,
Raiffeisenbank Arnstorf eG,Arnstorf,Bavaria,GVB,7,German Coop,Germany,,,
Raiffeisenbank Sonnenwald eG,Auerbach (Landkreis Deggendorf),Bavaria,GVB,7,German Coop,Germany,,,
Raiffeisenbank Berg-Bad Steben eG,Berg (Oberfranken),Bavaria,GVB,7,German Coop,Germany,,,
Raiffeisenbank Elsavatal eG,Eschau,Bavaria,GVB,7,German Coop,Germany,,,
Raiffeisenbank Eschlkam-Lam-Lohberg-Neukirchen b. Hl. Blut eG,Eschlkam,Bavaria,GVB,7,German Coop,Germany,,,
Raiffeisenbank Altdorf-Feucht eG,Feucht,Bavaria,GVB,7,German Coop,Germany,,,
Raiffeisenbank i. Südl. Bayerischen Wald eG,Hauzenberg,Bavaria,GVB,7,German Coop,Germany,,,
Raiffeisenbank Seebachgrund eG,Heßdorf,Bavaria,GVB,7,German Coop,Germany,,,
Raiffeisenbank Höhenkirchen und Umgebung eG,Höhenkirchen,Bavaria,GVB,7,German Coop,Germany,,,
Raiffeisenbank Ichenhausen eG,Ichenhausen,Bavaria,GVB,7,German Coop,Germany,,,
Raiffeisenbank Bad Kötzting eG,Kötzting,Bavaria,GVB,7,German Coop,Germany,,,
Raiffeisenbank Kissing-Mering eG,Mering,Bavaria,GVB,7,German Coop,Germany,,,
Raiffeisenbank München-Süd eG,München,Bavaria,GVB,7,German Coop,Germany,,,
Raiffeisenbank Reischach-Wurmannsquick-Zeilarn eG,Reischach,Bavaria,GVB,7,German Coop,Germany,,,
Raiffeisenbank Riedenburg-Lobsing eG,Riedenburg,Bavaria,GVB,7,German Coop,Germany,,,
Raiffeisenbank Hallertau eG,Rudelzhausen,Bavaria,GVB,7,German Coop,Germany,,,
Raiffeisenbank Salzweg-Thyrnau eG,Salzweg,Bavaria,GVB,7,German Coop,Germany,,,
Raiffeisenbank Frankenwald Ost-Oberkotzau eG,Schwarzenbach am Wald,Bavaria,GVB,7,German Coop,Germany,,,
Raiffeisenbank südöstl. Starnberger See eG,Seeshaupt,Bavaria,GVB,7,German Coop,Germany,,,
Raiffeisenbank Steingaden eG,Steingaden,Bavaria,GVB,7,German Coop,Germany,,,
Volksbank Vilshofen eG,Vilshofen,Bavaria,GVB,7,German Coop,Germany,,,
Raiffeisenbank Waldaschaff-Heigenbrücken eG,Waldaschaff,Bavaria,GVB,7,German Coop,Germany,,,
Raiffeisenbank Ried eG,Bürstadt,Hesse,GV,7,German Coop,Germany,,,
Volksbank Eltville eG,Eltville,Hesse,GV,7,German Coop,Germany,,,
Raiffeisenbank Biebergrund-Petersberg eG,Petersberg,Hesse,GV,7,German Coop,Germany,,,
Volksbank Ulrichstein eG,Ulrichstein,Hesse,GV,7,German Coop,Germany,,,
Volksbank am Ith eG,Coppenbrügge,Lower Saxony,GV,7,German Coop,Germany,,,
Spar- und Darlehnskasse Friesoythe eG,Friesoythe,Lower Saxony,GVWE,7,German Coop,Germany,,,
Volksbank Wilhelmshaven eG,Wilhelmshaven,Lower Saxony,GV,7,German Coop,Germany,,,
Aachener Bank eG,Aachen,North Rhine-Westphalia,RWGV,7,German Coop,Germany,,,
Volksbank Wittgenstein eG,Bad Berleburg,North Rhine-Westphalia,RWGV,7,German Coop,Germany,,,
GLS Gemeinschaftsbank eG,Bochum,North Rhine-Westphalia,RWGV,7,German Coop,Germany,,,
Volksbank Kirchhellen eG,Bottrop,North Rhine-Westphalia,RWGV,7,German Coop,Germany,,,
Volksbank Delbrück-Hövelhof eG,Delbrück,North Rhine-Westphalia,RWGV,7,German Coop,Germany,,,
Volksbank Enger-Spenge eG,Enger,North Rhine-Westphalia,RWGV,7,German Coop,Germany,,,
Raiffeisen-Bank Eschweiler eG,Eschweiler,North Rhine-Westphalia,RWGV,7,German Coop,Germany,,,
Volksbank Haltern eG,Haltern am See,North Rhine-Westphalia,RWGV,7,German Coop,Germany,,,
Volksbank Kamen-Werne eG,Kamen,North Rhine-Westphalia,RWGV,7,German Coop,Germany,,,
Raiffeisenbank Kürten-Odenthal eG,Kürten,North Rhine-Westphalia,RWGV,7,German Coop,Germany,,,
Volksbank Lüdenscheid eG,Lüdenscheid,North Rhine-Westphalia,RWGV,7,German Coop,Germany,,,
Volksbank Marsberg eG,Marsberg,North Rhine-Westphalia,RWGV,7,German Coop,Germany,,,
Volksbank Selm-Bork eG,Selm,North Rhine-Westphalia,RWGV,7,German Coop,Germany,,,
Raiffeisenbank Zeller Land eG,Briedel,Rhineland-Palatinate,RWGV,7,German Coop,Germany,,,
Raiffeisen- und Volksbank Dahn eG,Dahn,Rhineland-Palatinate,GV,7,German Coop,Germany,,,
Raiffeisenbank Moselkrampen eG,Ernst,Rhineland-Palatinate,RWGV,7,German Coop,Germany,,,
Raiffeisenbank Neustadt eG,Neustadt (Wied),Rhineland-Palatinate,RWGV,7,German Coop,Germany,,,
Vereinigte Raiffeisenkassen Weinsheim eG,Weinsheim,Rhineland-Palatinate,RWGV,7,German Coop,Germany,,,
Raiffeisenbank Mittelrhein eG,Weißenthurm,Rhineland-Palatinate,RWGV,7,German Coop,Germany,,,
Volksbank Leipzig eG,Leipzig,Saxony,GV,7,German Coop,Germany,,,
Volksbank Pirna eG,Pirna,Saxony,GV,7,German Coop,Germany,,,
Raiffeisenbank Kalbe-Bismark eG,Kalbe,Saxony-Anhalt,GV,7,German Coop,Germany,,,
Raiffeisenbank Heide eG,Heide,Schleswig-Holstein,GV,7,German Coop,Germany,,,
Raiffeisenbank Lauenburg eG,Lauenburg,Schleswig-Holstein,GV,7,German Coop,Germany,,,
Volksbank Tailfingen eG,Albstadt,Baden-Württemberg,BWGV,6,German Coop,Germany,,,
Volksbank Ammerbuch eG,Ammerbuch,Baden-Württemberg,BWGV,6,German Coop,Germany,,,
Federseebank eG,Bad Buchau,Baden-Württemberg,BWGV,6,German Coop,Germany,,,
Volksbank Bad Mergentheim eG,Bad Mergentheim,Baden-Württemberg,BWGV,6,German Coop,Germany,,,
Raiffeisenbank Birkenfeld eG,Birkenfeld,Baden-Württemberg,BWGV,6,German Coop,Germany,,,
Volksbank-Raiffeisenbank Deggingen eG,Deggingen,Baden-Württemberg,BWGV,6,German Coop,Germany,,,
Raiffeisenbank Südhardt eG,Durmersheim,Baden-Württemberg,BWGV,6,German Coop,Germany,,,
Fellbacher Bank eG,Fellbach,Baden-Württemberg,BWGV,6,German Coop,Germany,,,
Raiffeisenbank Rosenstein eG,Heubach,Baden-Württemberg,BWGV,6,German Coop,Germany,,,
Raiffeisenbank Horb eG,Horb,Baden-Württemberg,BWGV,6,German Coop,Germany,,,
Volksbank Strohgäu eG,Korntal-Münchingen,Baden-Württemberg,BWGV,6,German Coop,Germany,,,
Volksbank Sandhofen eG,Mannheim,Baden-Württemberg,BWGV,6,German Coop,Germany,,,
Volksbank Filder eG,Neuhausen auf den Fildern,Baden-Württemberg,BWGV,6,German Coop,Germany,,,
Volksbank Remseck eG,Remseck am Neckar,Baden-Württemberg,BWGV,6,German Coop,Germany,,,
Raiffeisenbank Frankenhardt-Stimpfach eG,Stimpfach,Baden-Württemberg,BWGV,6,German Coop,Germany,,,
Untertürkheimer Volksbank eG,Stuttgart,Baden-Württemberg,BWGV,6,German Coop,Germany,,,
Volksbank Trossingen eG,Trossingen,Baden-Württemberg,BWGV,6,German Coop,Germany,,,
Volksbank Vorbach-Tauber eG - Raiffeisen- und Volksbank-,Weikersheim,Baden-Württemberg,BWGV,6,German Coop,Germany,,,
Raiffeisenbank Aindling eG,Aindling,Bavaria,GVB,6,German Coop,Germany,,,
Raiffeisenbank Berching-Freystadt-Mühlhausen eG,Berching,Bavaria,GVB,6,German Coop,Germany,,,
Raiffeisenbank Bütthard-Gaukönigshofen eG,Bütthard,Bavaria,GVB,6,German Coop,Germany,,,
Raiffeisenbank Oberferrieden-Burgthann eG,Burgthann,Bavaria,GVB,6,German Coop,Germany,,,
Raiffeisenbank Falkenstein-Wörth eG,Falkenstein,Bavaria,GVB,6,German Coop,Germany,,,
Raiffeisenbank Bachgau eG,Großostheim,Bavaria,GVB,6,German Coop,Germany,,,
Raiffeisenbank am Rothsee eG,Hilpoltstein,Bavaria,GVB,6,German Coop,Germany,,,
Raiffeisenbank Aschberg eG,Holzheim (bei Dillingen an der Donau),Bavaria,GVB,6,German Coop,Germany,,,
Volksbank Lindenberg eG,Lindenberg im Allgäu,Bavaria,GVB,6,German Coop,Germany,,,
Raiffeisenbank Oberland eG,Marktleugast,Bavaria,GVB,6,German Coop,Germany,,,
Raiffeisenbank Maßbach eG,Rannungen,Bavaria,GVB,6,German Coop,Germany,,,
Raiffeisenbank Regenstauf eG,Regenstauf,Bavaria,GVB,6,German Coop,Germany,,,
Raiffeisenbank Unteres Vilstal eG,Schmidmühlen,Bavaria,GVB,6,German Coop,Germany,,,
Volksbank Überwald- Gorxheimertal eG,Abtsteinach,Hesse,GV,6,German Coop,Germany,,,
Raiffeisenbank Vogelsberg eG,Birstein,Hesse,GV,6,German Coop,Germany,,,
Volksbank Langendernbach eG,Dornburg,Hesse,GV,6,German Coop,Germany,,,
Volksbank Herborn-Eschenburg eG,Herborn,Hesse,GV,6,German Coop,Germany,,,
Raiffeisenbank Oberursel eG,Oberursel,Hesse,GV,6,German Coop,Germany,,,
Volksbank Weschnitztal eG,Rimbach,Hesse,GV,6,German Coop,Germany,,,
Volksbank Raiffeisenbank Schlüchtern eG,Schlüchtern,Hesse,GV,6,German Coop,Germany,,,
Raiffeisenbank Bad Doberan eG,Bad Doberan,Mecklenburg-Vorpommern,GV,6,German Coop,Germany,,,
Volksbank Nordhümmling eG,Börger,Lower Saxony,GVWE,6,German Coop,Germany,,,
Raiffeisenbank Butjadingen-Abbehausen eG,Butjadingen,Lower Saxony,GVWE,6,German Coop,Germany,,,
Volksbank Clenze-Hitzacker eG,Clenze,Lower Saxony,GV,6,German Coop,Germany,,,
Spar- und Kreditbank Hammah eG,Hammah,Lower Saxony,GV,6,German Coop,Germany,,,
Volksbank Hankensbüttel-Wahrenholz eG,Hankensbüttel,Lower Saxony,GV,6,German Coop,Germany,,,
VR Bank Oldenburg Land West eG,Hatten,Lower Saxony,GVWE,6,German Coop,Germany,,,
Raiffeisenbank Emsland-Mitte eG,Klein Berßen,Lower Saxony,GVWE,6,German Coop,Germany,,,
Volksbank Niedergrafschaft eG,Uelsen,Lower Saxony,GVWE,6,German Coop,Germany,,,
Volksbank Baumberge eG,Billerbeck,North Rhine-Westphalia,RWGV,6,German Coop,Germany,,,
Volksbank Greven eG,Greven,North Rhine-Westphalia,RWGV,6,German Coop,Germany,,,
BAG Bankaktiengesellschaft,Hamm,North Rhine-Westphalia,RWGV,6,German Coop,Germany,,,
Volksbank Lüdinghausen-Olfen eG,Lüdinghausen,North Rhine-Westphalia,RWGV,6,German Coop,Germany,,,
Volksbank Minden eG,Minden,North Rhine-Westphalia,RWGV,6,German Coop,Germany,,,
Gladbacher Bank AG von 1922,Mönchengladbach,North Rhine-Westphalia,RWGV,6,German Coop,Germany,,,
Volksbank Elsen-Wewer-Borchen eG,Paderborn,North Rhine-Westphalia,RWGV,6,German Coop,Germany,,,
Volksbank Rietberg eG,Rietberg,North Rhine-Westphalia,RWGV,6,German Coop,Germany,,,
Volksbank Sprockhövel eG,Sprockhövel,North Rhine-Westphalia,RWGV,6,German Coop,Germany,,,
Volksbank Viersen eG,Viersen,North Rhine-Westphalia,RWGV,6,German Coop,Germany,,,
Raiffeisenbank Lutzerather Höhe eG,Lutzerath,Rhineland-Palatinate,RWGV,6,German Coop,Germany,,,
Raiffeisenbank Schifferstadt eG,Schifferstadt,Rhineland-Palatinate,GV,6,German Coop,Germany,,,
Volksbank Zwickau eG,Zwickau,Saxony,GVB,6,German Coop,Germany,,,
Volksbank Sangerhausen eG,Sangerhausen,Saxony-Anhalt,GV,6,German Coop,Germany,,,
Volks- und Raiffeisenbank Zeitz eG,Zeitz,Saxony-Anhalt,GV,6,German Coop,Germany,,,
Raiffeisenbank Handewitt eG,Handewitt,Schleswig-Holstein,GV,6,German Coop,Germany,,,
Raiffeisen-Volksbank Hermsdorfer Kreuz eG,Hermsdorf,Thuringia,GVB,6,German Coop,Germany,,,
Raiffeisenbank Vorallgäu eG,Amtzell,Baden-Württemberg,BWGV,5,German Coop,Germany,,,
Raiffeisenbank Bad Saulgau eG,Bad Saulgau,Baden-Württemberg,BWGV,5,German Coop,Germany,,,
SKB Hardt eG,Eggenstein-Leopoldshafen,Baden-Württemberg,BWGV,5,German Coop,Germany,,,
Raiffeisenbank Geislingen-Rosenfeld eG,Geislingen,Baden-Württemberg,BWGV,5,German Coop,Germany,,,
Raiffeisenbank Heidenheimer Alb eG,Gerstetten,Baden-Württemberg,BWGV,5,German Coop,Germany,,,
Raiffeisenbank Niedere Alb eG,Langenau,Baden-Württemberg,BWGV,5,German Coop,Germany,,,
Volksbank Pfullendorf eG,Pfullendorf,Baden-Württemberg,BWGV,5,German Coop,Germany,,,
Volksbank Triberg eG,Triberg im Schwarzwald,Baden-Württemberg,BWGV,5,German Coop,Germany,,,
Volksbank Weingarten eG,Weingarten,Baden-Württemberg,BWGV,5,German Coop,Germany,,,
Raiffeisenbank Adelzhausen-Sielenbach eG,Adelzhausen,Bavaria,GVB,5,German Coop,Germany,,,
VR-Bank Burglengenfeld eG,Burglengenfeld,Bavaria,GVB,5,German Coop,Germany,,,
Raiffeisenbank Ehekirchen-Oberhausen eG,Ehekirchen,Bavaria,GVB,5,German Coop,Germany,,,
Raiffeisenbank Gefrees eG,Gefrees,Bavaria,GVB,5,German Coop,Germany,,,
Raiffeisenbank Geiselhöring-Pfaffenberg eG,Geiselhöring,Bavaria,GVB,5,German Coop,Germany,,,
Raiffeisenbank Geisenhausen eG,Geisenhausen,Bavaria,GVB,5,German Coop,Germany,,,
Raiffeisenbank Gmund am Tegernsee eG,Gmund am Tegernsee,Bavaria,GVB,5,German Coop,Germany,,,
Raiffeisenbank Greding-Thalmässing eG,Greding,Bavaria,GVB,5,German Coop,Germany,,,
Raiffeisenbank Haibach-Obernau eG,Haibach (Unterfranken),Bavaria,GVB,5,German Coop,Germany,,,
Raiffeisenbank Hirschau eG,Hirschau,Bavaria,GVB,5,German Coop,Germany,,,
Raiffeisenbank Westkreis Fürstenfeldbruck eG,Moorenweis,Bavaria,GVB,5,German Coop,Germany,,,
Hausbank München eG,München,Bavaria,GVB,5,German Coop,Germany,,,
Raiffeisenbank Hallbergmoos-Neufahrn eG,Neufahrn,Bavaria,GVB,5,German Coop,Germany,,,
Raiffeisenbank Parkstetten eG,Parkstetten,Bavaria,GVB,5,German Coop,Germany,,,
Raiffeisenbank Parsberg-Velburg eG,Parsberg,Bavaria,GVB,5,German Coop,Germany,,,
Raiffeisenbank Schrobenhausen eG,Schrobenhausen,Bavaria,GVB,5,German Coop,Germany,,,
VR Bank Forst eG,Forst,Brandenburg,GV,5,German Coop,Germany,,,
Volksbank Griesheim eG,Frankfurt a.M.,Hesse,GV,5,German Coop,Germany,,,
Spar- und Kredit-Bank Gemünden eG,Gemünden,Hesse,GV,5,German Coop,Germany,,,
Volksbank Modau eG,Ober-Ramstadt,Hesse,GV,5,German Coop,Germany,,,
Volksbank Seligenstadt eG,Seligenstadt,Hesse,GV,5,German Coop,Germany,,,
Volksbank Demmin eG,Demmin,Mecklenburg-Vorpommern,GV,5,German Coop,Germany,,,
Volksbank Adelebsen eG,Adelebsen,Lower Saxony,GV,5,German Coop,Germany,,,
Volksbank Diepholz-Barnstorf eG,Barnstorf,Lower Saxony,GV,5,German Coop,Germany,,,
Volksbank Wittlage eG,Bohmte,Lower Saxony,GVWE,5,German Coop,Germany,,,
Volksbank Börßum-Hornburg eG,Börßum,Lower Saxony,GV,5,German Coop,Germany,,,
Volksbank Essen-Cappeln eG,Cappeln,Lower Saxony,GVWE,5,German Coop,Germany,,,
Volksbank Cloppenburg eG,Cloppenburg,Lower Saxony,GVWE,5,German Coop,Germany,,,
Volksbank Emstek eG,Emstek,Lower Saxony,GVWE,5,German Coop,Germany,,,
Volksbank Osnabrücker Nordland eG,Fürstenau,Lower Saxony,GVWE,5,German Coop,Germany,,,
Volksbank Haselünne eG,Haselünne,Lower Saxony,GVWE,5,German Coop,Germany,,,
"Raiffeisen-Volksbank eG, Neustadt (am Rbg.)",Neustadt am Rübenberge,Lower Saxony,GV,5,German Coop,Germany,,,
Volksbank Oldendorf eG,Oldendorf,Lower Saxony,GV,5,German Coop,Germany,,,
Volksbank Geeste-Nord eG,Schiffdorf,Lower Saxony,GV,5,German Coop,Germany,,,
Volksbank Anröchte eG,Anröchte,North Rhine-Westphalia,RWGV,5,German Coop,Germany,,,
Brühler Kreditbank eG,Brühl,North Rhine-Westphalia,RWGV,5,German Coop,Germany,,,
Volksbank Dinslaken eG,Dinslaken,North Rhine-Westphalia,RWGV,5,German Coop,Germany,,,
KD-Bank eG - die Bank für Kirche und Diakonie,Dortmund,North Rhine-Westphalia,RWGV,5,German Coop,Germany,,,
VR-Bank Freudenberg-Niederfischbach eG,Freudenberg,North Rhine-Westphalia,RWGV,5,German Coop,Germany,,,
Volksbank Hohenlimburg eG,Hagen,North Rhine-Westphalia,RWGV,5,German Coop,Germany,,,
Volksbank Schnathorst eG,Hüllhorst,North Rhine-Westphalia,RWGV,5,German Coop,Germany,,,
Raiffeisenbank Kaarst eG,Kaarst,North Rhine-Westphalia,RWGV,5,German Coop,Germany,,,
Raiffeisenbank von 1895 eG,Kerpen,North Rhine-Westphalia,RWGV,5,German Coop,Germany,,,
Volksbank Meerbusch eG,Meerbusch,North Rhine-Westphalia,RWGV,5,German Coop,Germany,,,
Volksbank Ochtrup eG,Ochtrup,North Rhine-Westphalia,RWGV,5,German Coop,Germany,,,
Raiffeisenbank Much-Ruppichteroth eG,Ruppichteroth,North Rhine-Westphalia,RWGV,5,German Coop,Germany,,,
Raiffeisenbank Sankt Augustin eG,Sankt Augustin,North Rhine-Westphalia,RWGV,5,German Coop,Germany,,,
Volksbank Daaden eG,Daaden,Rhineland-Palatinate,GV,5,German Coop,Germany,,,
Volksbank Gebhardshain eG,Gebhardshain,Rhineland-Palatinate,RWGV,5,German Coop,Germany,,,
Raiffeisenbank Niederwallmenach eG,Niederwallmenach,Rhineland-Palatinate,GV,5,German Coop,Germany,,,
Raiffeisenbank Neustadt (Sachs.) eG,Sebnitz,Saxony,GV,5,German Coop,Germany,,,
Volks- und Raiffeisenbank Eisleben eG,Lutherstadt Eisleben,Saxony-Anhalt,GV,5,German Coop,Germany,,,
Norderstedter Bank eG,Norderstedt,Schleswig-Holstein,GV,5,German Coop,Germany,,,
Raiffeisenbank Ratzeburg eG,Ratzeburg,Schleswig-Holstein,GV,5,German Coop,Germany,,,
Föhr-Amrumer Bank eG,Wyk auf Föhr,Schleswig-Holstein,GV,5,German Coop,Germany,,,
Volksbank Eisenberg eG,Eisenberg,Thuringia,GV,5,German Coop,Germany,,,
